chr	start	end	strand	ens_id	description	symbol	miRBase_ID
chr1	632325	632413	-	ENSG00000278791	microRNA 6723 [Source:HGNC Symbol;Acc:HGNC:50152]	MIR6723	hsa-mir-6723
chr1	1167104	1167198	+	ENSG00000207730	microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]	MIR200B	hsa-mir-200b
chr1	1167863	1167952	+	ENSG00000207607	microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]	MIR200A	hsa-mir-200a
chr1	1169005	1169087	+	ENSG00000198976	microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]	MIR429	hsa-mir-429
chr1	1296110	1296170	-	ENSG00000278073	microRNA 6726 [Source:HGNC Symbol;Acc:HGNC:50009]	MIR6726	hsa-mir-6726
chr1	1312502	1312566	-	ENSG00000283712	microRNA 6727 [Source:HGNC Symbol;Acc:HGNC:50171]	MIR6727	hsa-mir-6727
chr1	1339650	1339708	-	ENSG00000284372	microRNA 6808 [Source:HGNC Symbol;Acc:HGNC:50046]	MIR6808	hsa-mir-6808
chr1	3127975	3128035	+	ENSG00000283572	microRNA 4251 [Source:HGNC Symbol;Acc:HGNC:38370]	MIR4251	hsa-mir-4251
chr1	3560695	3560790	-	ENSG00000207776	microRNA 551a [Source:HGNC Symbol;Acc:HGNC:32806]	MIR551A	hsa-mir-551a
chr1	5564071	5564143	+	ENSG00000264341	microRNA 4417 [Source:HGNC Symbol;Acc:HGNC:41535]	MIR4417	hsa-mir-4417
chr1	5862672	5862741	-	ENSG00000264101	microRNA 4689 [Source:HGNC Symbol;Acc:HGNC:41895]	MIR4689	hsa-mir-4689
chr1	6429834	6429896	-	ENSG00000265392	microRNA 4252 [Source:HGNC Symbol;Acc:HGNC:38384]	MIR4252	hsa-mir-4252
chr1	8866502	8866590	-	ENSG00000274258	microRNA 6728 [Source:HGNC Symbol;Acc:HGNC:49961]	MIR6728	hsa-mir-6728
chr1	9151668	9151777	-	ENSG00000284357	microRNA 34a [Source:HGNC Symbol;Acc:HGNC:31635]	MIR34A	hsa-mir-34a
chr1	9967381	9967458	+	ENSG00000265521	microRNA 5697 [Source:HGNC Symbol;Acc:HGNC:43509]	MIR5697	hsa-mir-5697
chr1	10227718	10227803	+	ENSG00000264881	microRNA 1273d [Source:HGNC Symbol;Acc:HGNC:38375]	MIR1273D	hsa-mir-1273d
chr1	12029158	12029222	+	ENSG00000276869	microRNA 6729 [Source:HGNC Symbol;Acc:HGNC:50103]	MIR6729	hsa-mir-6729
chr1	12166943	12167038	+	ENSG00000283789	microRNA 7846 [Source:HGNC Symbol;Acc:HGNC:50029]	MIR7846	hsa-mir-7846
chr1	12191713	12191773	+	ENSG00000263676	microRNA 4632 [Source:HGNC Symbol;Acc:HGNC:41593]	MIR4632	hsa-mir-4632
chr1	12578957	12579023	-	ENSG00000276830	microRNA 6730 [Source:HGNC Symbol;Acc:HGNC:50222]	MIR6730	hsa-mir-6730
chr1	16858949	16859021	-	ENSG00000263811	microRNA 3675 [Source:HGNC Symbol;Acc:HGNC:38973]	MIR3675	hsa-mir-3675
chr1	17277889	17277975	+	ENSG00000266634	microRNA 3972 [Source:HGNC Symbol;Acc:HGNC:41876]	MIR3972	hsa-mir-3972
chr1	18883202	18883275	-	ENSG00000265606	microRNA 4695 [Source:HGNC Symbol;Acc:HGNC:41573]	MIR4695	hsa-mir-4695
chr1	18897071	18897148	-	ENSG00000221662	microRNA 1290 [Source:HGNC Symbol;Acc:HGNC:35283]	MIR1290	hsa-mir-1290
chr1	20633679	20633788	+	ENSG00000284005	microRNA 6084 [Source:HGNC Symbol;Acc:HGNC:50235]	MIR6084	hsa-mir-6084
chr1	20988314	20988432	-	ENSG00000221808	microRNA 1256 [Source:HGNC Symbol;Acc:HGNC:35321]	MIR1256	hsa-mir-1256
chr1	22266239	22266300	+	ENSG00000266564	microRNA 4418 [Source:HGNC Symbol;Acc:HGNC:41789]	MIR4418	hsa-mir-4418
chr1	22633258	22633366	-	ENSG00000276835	microRNA 6127 [Source:HGNC Symbol;Acc:HGNC:50163]	MIR6127	hsa-mir-6127
chr1	22719517	22719598	+	ENSG00000265422	microRNA 4684 [Source:HGNC Symbol;Acc:HGNC:41695]	MIR4684	hsa-mir-4684
chr1	22863159	22863226	-	ENSG00000264014	microRNA 4253 [Source:HGNC Symbol;Acc:HGNC:38231]	MIR4253	hsa-mir-4253
chr1	23044305	23044372	+	ENSG00000263793	microRNA 3115 [Source:HGNC Symbol;Acc:HGNC:38371]	MIR3115	hsa-mir-3115
chr1	23057858	23057934	-	ENSG00000266802	microRNA 4419a [Source:HGNC Symbol;Acc:HGNC:41828]	MIR4419A	hsa-mir-4419a
chr1	23929070	23929147	+	ENSG00000264926	microRNA 378f [Source:HGNC Symbol;Acc:HGNC:41686]	MIR378F	hsa-mir-378f
chr1	24919345	24919416	-	ENSG00000278034	microRNA 6731 [Source:HGNC Symbol;Acc:HGNC:50036]	MIR6731	hsa-mir-6731
chr1	25023503	25023586	+	ENSG00000264371	microRNA 4425 [Source:HGNC Symbol;Acc:HGNC:41891]	MIR4425	hsa-mir-4425
chr1	25906362	25906454	-	ENSG00000283938	microRNA 3917 [Source:HGNC Symbol;Acc:HGNC:38911]	MIR3917	hsa-mir-3917
chr1	26554542	26554593	+	ENSG00000238705	microRNA 1976 [Source:HGNC Symbol;Acc:HGNC:37064]	MIR1976	hsa-mir-1976
chr1	30739156	30739232	-	ENSG00000264773	microRNA 4420 [Source:HGNC Symbol;Acc:HGNC:41772]	MIR4420	hsa-mir-4420
chr1	31758660	31758735	-	ENSG00000266580	microRNA 4254 [Source:HGNC Symbol;Acc:HGNC:38193]	MIR4254	hsa-mir-4254
chr1	32086949	32087007	+	ENSG00000266203	microRNA 5585 [Source:HGNC Symbol;Acc:HGNC:43452]	MIR5585	hsa-mir-5585
chr1	33332393	33332492	-	ENSG00000284154	microRNA 3605 [Source:HGNC Symbol;Acc:HGNC:38922]	MIR3605	hsa-mir-3605
chr1	34669599	34669694	-	ENSG00000207941	microRNA 552 [Source:HGNC Symbol;Acc:HGNC:32808]	MIR552	hsa-mir-552
chr1	37161563	37161634	+	ENSG00000264698	microRNA 4255 [Source:HGNC Symbol;Acc:HGNC:38187]	MIR4255	hsa-mir-4255
chr1	37480230	37480289	+	ENSG00000283724	microRNA 6732 [Source:HGNC Symbol;Acc:HGNC:50066]	MIR6732	hsa-mir-6732
chr1	37500935	37500994	-	ENSG00000263675	microRNA 5581 [Source:HGNC Symbol;Acc:HGNC:43527]	MIR5581	hsa-mir-5581
chr1	38089231	38089329	+	ENSG00000265596	microRNA 3659 [Source:HGNC Symbol;Acc:HGNC:38882]	MIR3659	hsa-mir-3659
chr1	40754355	40754446	+	ENSG00000198974	microRNA 30e [Source:HGNC Symbol;Acc:HGNC:31629]	MIR30E	hsa-mir-30e
chr1	40757284	40757372	+	ENSG00000207962	microRNA 30c-1 [Source:HGNC Symbol;Acc:HGNC:31626]	MIR30C1	hsa-mir-30c-1
chr1	43171652	43171712	-	ENSG00000284410	microRNA 6733 [Source:HGNC Symbol;Acc:HGNC:50239]	MIR6733	hsa-mir-6733
chr1	43364648	43364715	-	ENSG00000283836	microRNA 6734 [Source:HGNC Symbol;Acc:HGNC:50219]	MIR6734	hsa-mir-6734
