chr	start	end	strand	ens_id	description	symbol
chr1	923928	944581	+	ENSG00000187634	sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]	SAMD11
chr1	944204	959309	-	ENSG00000188976	NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]	NOC2L
chr1	960587	965715	+	ENSG00000187961	kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]	KLHL17
chr1	966497	975865	+	ENSG00000187583	pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]	PLEKHN1
chr1	975204	982093	-	ENSG00000187642	PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]	PERM1
chr1	998962	1000172	-	ENSG00000188290	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]	HES4
chr1	1001138	1014541	+	ENSG00000187608	ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	ISG15
chr1	1020123	1056118	+	ENSG00000188157	agrin [Source:HGNC Symbol;Acc:HGNC:329]	AGRN
chr1	1070966	1074307	-	ENSG00000237330	ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]	RNF223
chr1	1081818	1116361	-	ENSG00000131591	chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]	C1orf159
chr1	1173884	1197935	+	ENSG00000162571	tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]	TTLL10
chr1	1203508	1206691	-	ENSG00000186891	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	TNFRSF18
chr1	1211326	1214138	-	ENSG00000186827	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	TNFRSF4
chr1	1216908	1232031	-	ENSG00000078808	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	SDF4
chr1	1232265	1235041	+	ENSG00000176022	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	B3GALT6
chr1	1242446	1246722	-	ENSG00000184163	family with sequence similarity 132 member A [Source:HGNC Symbol;Acc:HGNC:32308]	FAM132A
chr1	1253909	1273885	-	ENSG00000160087	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	UBE2J2
chr1	1280436	1292029	+	ENSG00000162572	sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601]	SCNN1D
chr1	1292376	1309609	-	ENSG00000131584	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	ACAP3
chr1	1308567	1311677	+	ENSG00000169972	pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:HGNC:26914]	PUSL1
chr1	1311585	1324691	-	ENSG00000127054	cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:HGNC:26052]	CPSF3L
chr1	1324756	1328897	+	ENSG00000224051	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]	CPTP
chr1	1331314	1335306	+	ENSG00000169962	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	TAS1R3
chr1	1335276	1349350	-	ENSG00000107404	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	DVL1
chr1	1352689	1361777	-	ENSG00000162576	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	MXRA8
chr1	1373730	1375495	-	ENSG00000175756	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]	AURKAIP1
chr1	1385711	1399328	-	ENSG00000221978	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	CCNL2
chr1	1401908	1407313	-	ENSG00000242485	mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]	MRPL20
chr1	1418420	1421769	-	ENSG00000235098	ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]	ANKRD65
chr1	1426128	1427787	+	ENSG00000205116	transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]	TMEM88B
chr1	1434861	1442882	+	ENSG00000179403	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	VWA1
chr1	1449689	1470158	+	ENSG00000215915	ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]	ATAD3C
chr1	1471769	1497848	+	ENSG00000160072	ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]	ATAD3B
chr1	1512151	1534687	+	ENSG00000197785	ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	ATAD3A
chr1	1535174	1540453	-	ENSG00000205090	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]	TMEM240
chr1	1541673	1574869	-	ENSG00000160075	SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]	SSU72
chr1	1598012	1600096	-	ENSG00000228594	fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]	FNDC10
chr1	1615415	1630610	+	ENSG00000197530	mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]	MIB2
chr1	1632095	1635263	+	ENSG00000189409	matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]	MMP23B
chr1	1635227	1659012	-	ENSG00000248333	cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]	CDK11B
chr1	1659529	1692728	-	ENSG00000189339	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	SLC35E2B
chr1	1702730	1724324	-	ENSG00000008128	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]	CDK11A
chr1	1724838	1745992	-	ENSG00000215790	solute carrier family 35 member E2 [Source:HGNC Symbol;Acc:HGNC:20863]	SLC35E2
chr1	1751232	1780457	-	ENSG00000008130	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	NADK
chr1	1785285	1891117	-	ENSG00000078369	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	GNB1
chr1	1914827	1917296	+	ENSG00000169885	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	CALML6
chr1	1917590	1919273	-	ENSG00000178821	transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]	TMEM52
chr1	1921951	2003837	-	ENSG00000142609	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]	CFAP74
chr1	2019324	2030751	+	ENSG00000187730	gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084]	GABRD
chr1	2050470	2185395	+	ENSG00000067606	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	PRKCZ
chr1	2184461	2212720	-	ENSG00000162585	Fanconi anemia core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	FAAP20
chr1	2228695	2310119	+	ENSG00000157933	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	SKI
chr1	2321253	2391707	-	ENSG00000116151	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	MORN1
chr1	2391775	2405444	+	ENSG00000157916	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	RER1
chr1	2403964	2413797	-	ENSG00000157911	peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]	PEX10
chr1	2425980	2505530	+	ENSG00000149527	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	PLCH2
chr1	2508533	2526628	-	ENSG00000157881	pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366]	PANK4
chr1	2528745	2530245	-	ENSG00000197921	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	HES5
chr1	2555639	2565382	+	ENSG00000157873	TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	TNFRSF14
chr1	2586491	2591469	+	ENSG00000157870	family with sequence similarity 213 member B [Source:HGNC Symbol;Acc:HGNC:28390]	FAM213B
chr1	2590639	2632990	-	ENSG00000142606	membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]	MMEL1
chr1	2635976	2801717	-	ENSG00000215912	tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]	TTC34
chr1	3021483	3022903	+	ENSG00000169717	actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]	ACTRT2
chr1	3069168	3438621	+	ENSG00000142611	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	PRDM16
chr1	3454426	3481113	+	ENSG00000130762	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	ARHGEF16
chr1	3489920	3611495	-	ENSG00000162591	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	MEGF6
chr1	3625002	3630127	+	ENSG00000158109	tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]	TPRG1L
chr1	3630767	3652761	-	ENSG00000116213	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	WRAP73
chr1	3652520	3736201	+	ENSG00000078900	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	TP73
chr1	3746460	3771645	+	ENSG00000162592	coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]	CCDC27
chr1	3772788	3775982	+	ENSG00000235169	small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]	SMIM1
chr1	3778558	3796504	-	ENSG00000130764	leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]	LRRC47
chr1	3812081	3857214	-	ENSG00000116198	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	CEP104
chr1	3857267	3885429	+	ENSG00000169598	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	DFFB
chr1	3889125	3900293	-	ENSG00000198912	chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]	C1orf174
chr1	4654732	4792534	+	ENSG00000196581	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	AJAP1
chr1	5862811	5992473	-	ENSG00000131697	nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]	NPHP4
chr1	5991466	6101193	+	ENSG00000069424	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	KCNAB2
chr1	6101793	6180123	-	ENSG00000116254	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	CHD5
chr1	6181269	6209389	-	ENSG00000116251	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	RPL22
chr1	6205475	6221299	+	ENSG00000158286	ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]	RNF207
chr1	6221193	6235972	-	ENSG00000116237	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	ICMT
chr1	6244192	6245578	+	ENSG00000173673	hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]	HES3
chr1	6247346	6260975	-	ENSG00000158292	G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]	GPR153
chr1	6264269	6394391	-	ENSG00000097021	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	ACOT7
chr1	6412418	6424670	-	ENSG00000069812	hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]	HES2
chr1	6424788	6461370	+	ENSG00000187017	espin [Source:HGNC Symbol;Acc:HGNC:13281]	ESPN
chr1	6461151	6466195	-	ENSG00000215788	TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]	TNFRSF25
chr1	6466092	6520061	-	ENSG00000171680	pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]	PLEKHG5
chr1	6521347	6554535	-	ENSG00000162408	nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]	NOL9
chr1	6555181	6579757	+	ENSG00000173662	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	TAS1R1
chr1	6580001	6589280	+	ENSG00000204859	zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]	ZBTB48
