chr	start	end	strand	ens_id	description	symbol
chr1	29554	31109	+	ENSG00000243485	MIR1302-2 host gene [Source:HGNC Symbol;Acc:HGNC:52482]	MIR1302-2HG
chr1	34554	36081	-	ENSG00000237613	family with sequence similarity 138 member A [Source:HGNC Symbol;Acc:HGNC:32334]	FAM138A
chr1	89295	133723	-	ENSG00000238009		
chr1	89551	91105	-	ENSG00000239945		
chr1	160446	161525	+	ENSG00000241599		
chr1	257864	297502	-	ENSG00000228463		
chr1	357383	359681	-	ENSG00000236743		
chr1	358857	366052	+	ENSG00000236601		
chr1	365389	501617	-	ENSG00000237094		
chr1	585989	827796	-	ENSG00000230021		
chr1	587629	594768	+	ENSG00000235146		
chr1	778770	810060	+	ENSG00000237491		
chr1	817371	819837	+	ENSG00000177757	family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236]	FAM87B
chr1	826206	827522	-	ENSG00000225880	long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]	LINC00115
chr1	868071	876903	-	ENSG00000230368	family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]	FAM41C
chr1	904834	915976	+	ENSG00000272438		
chr1	911435	914948	+	ENSG00000230699		
chr1	914171	914971	+	ENSG00000241180		
chr1	916865	921016	-	ENSG00000223764		
chr1	995966	998051	-	ENSG00000272512		
chr1	1062208	1063288	-	ENSG00000273443		
chr1	1137017	1144056	+	ENSG00000223823	long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551]	LINC01342
chr1	1169357	1170343	+	ENSG00000272141		
chr1	1249777	1251334	-	ENSG00000260179		
chr1	1275223	1280420	+	ENSG00000230415	long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575]	LINC01786
chr1	1409096	1410618	+	ENSG00000272455		
chr1	1430539	1434573	-	ENSG00000225285	long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560]	LINC01770
chr1	1574975	1577075	+	ENSG00000215014		
chr1	2212523	2220738	+	ENSG00000234396		
chr1	2546465	2547460	+	ENSG00000272449		
chr1	2581560	2584533	+	ENSG00000228037		
chr1	2811850	2812692	-	ENSG00000233234		
chr1	2814432	2814998	-	ENSG00000231630		
chr1	3306636	3310096	-	ENSG00000272235		
chr1	3487246	3487627	+	ENSG00000272088		
chr1	3900372	3917225	+	ENSG00000236423	long intergenic non-protein coding RNA 1134 [Source:HGNC Symbol;Acc:HGNC:49449]	LINC01134
chr1	3940565	3955262	+	ENSG00000233304	long intergenic non-protein coding RNA 1346 [Source:HGNC Symbol;Acc:HGNC:50563]	LINC01346
chr1	3944547	3948980	-	ENSG00000226374	long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564]	LINC01345
chr1	4412027	4424689	+	ENSG00000235054	long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567]	LINC01777
chr1	4551735	4552145	-	ENSG00000227169		
chr1	4571481	4594009	+	ENSG00000232596	long intergenic non-protein coding RNA 1646 [Source:HGNC Symbol;Acc:HGNC:52433]	LINC01646
chr1	5086459	5090899	-	ENSG00000231510		
chr1	5492978	5494674	+	ENSG00000260972		
chr1	5561709	5668295	-	ENSG00000236948		
chr1	6236240	6239444	+	ENSG00000225077	long intergenic non-protein coding RNA 337 [Source:HGNC Symbol;Acc:HGNC:28620]	LINC00337
